Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
TUN,Tunisia,2000,3.54145974209786,29.2,0.762,72.604,9764935.0,63.6166653822584
TUN,Tunisia,2004,5.24794746880204,22.7,1.311,73.519,10166163.0,64.9272741461338
TUN,Tunisia,2008,3.23983058347032,19.4,1.094,74.192,10542635.0,66.0676053984361
TUN,Tunisia,2016,0.0084982715857364,18.1,1.258,75.007,11528674.0,68.0623356528248
TUR,Turkiye,1992,3.26017406696464,65.2,0.983,68.603,57990118.0,52.7929785448463
TUR,Turkiye,1996,5.55499104784674,50.0,1.116,70.245,61951134.0,55.7904438860013
TUR,Turkiye,2000,5.62145840894716,37.4,1.303,71.931,65425961.0,58.9706120006403
TUR,Turkiye,2004,8.70602046453412,27.7,1.416,73.223,68592617.0,62.4388481173262
TUR,Turkiye,2008,-0.349081731358567,20.6,1.581,74.38,71051678.0,66.513650890377
TUR,Turkiye,2012,3.48010432023058,15.8,1.726,75.552,75175827.0,73.7788680234324
TUR,Turkiye,2016,1.9428315705164,12.6,1.774,76.595,79277962.0,88.1020958581776
TUV,Tuvalu,2008,5.23011336110841,34.2,0.971,64.516,10321.0,52.8338644492855
TZA,Tanzania,1984,1.31693001082563,177.8,0.039,52.151,21779066.0,16.5906182303143
TZA,Tanzania,2012,1.53892032694513,62.1,0.031,62.286,47374260.0,29.4878764597911
UGA,Uganda,1984,-2.97662323233796,203.3,0.044,43.706,14607677.0,7.74254709862342
UGA,Uganda,2004,3.65117760961586,114.9,0.081,53.699,27154515.0,13.1221118400615
UGA,Uganda,2012,0.865151267915266,66.7,0.098,61.579,34337438.0,21.372369321253
UKR,Ukraine,1988,2.15178868370032,19.9,4.2,71.04,51724853.0,66.628218774505
UKR,Ukraine,1992,-10.1629691607265,19.4,4.297,68.947,52323671.0,67.8603420916046
UKR,Ukraine,1996,-9.22795603769922,20.3,2.992,67.097,51226109.0,67.7194202781316
UKR,Ukraine,2000,6.79706549402465,18.3,2.986,67.786,49556660.0,67.403857296906
UKR,Ukraine,2004,12.5773931558428,15.1,2.968,67.472,47979507.0,67.5970968423685
UKR,Ukraine,2008,2.77550904646171,12.9,3.074,68.262,46819175.0,68.3752085755346
UKR,Ukraine,2012,0.364275557578679,10.7,3.434,71.09,46210056.0,68.8241983107739
URY,Uruguay,1984,-1.59402132372715,29.5,1.926,71.708,3002488.0,86.8205016337316
URY,Uruguay,1992,7.33522697716671,22.9,3.226,73.185,3139702.0,89.780655787039
URY,Uruguay,1996,5.02200077420791,20.3,3.703,73.812,3206324.0,90.7987169022654
URY,Uruguay,2008,6.94817225721984,11.9,3.996,76.275,3302177.0,93.45975578621
URY,Uruguay,2016,1.35078037686081,8.5,4.008,77.351,3379283.0,95.1585424955685
USA,United States,1976,4.39135849431463,17.9,1.3,72.8560975609756,218035000.0,73.6353974755378
USA,United States,1980,-1.20932407186373,15.0,1.5,73.609756097561,227225000.0,73.7506044021808
USA,United States,1988,3.23533791731938,11.9,1.8,74.7658536585366,244499000.0,74.8477523305311
USA,United States,1992,2.09666863144402,10.5,1.9,75.6170731707317,256514000.0,75.8943317611462
USA,United States,2000,2.92586254370109,8.4,2.596,76.6365853658537,282162411.0,79.0740897861327
USA,United States,2004,2.89111091581917,8.1,2.711,77.4878048780488,292805298.0,79.9960936968363
UZB,Uzbekistan,1992,-13.3582215361321,70.1,3.357,65.236,21485090.0,41.5298766018746
UZB,Uzbekistan,1996,-0.191816644156489,68.3,3.14,64.78,23351981.0,44.2710582086815
